timestamp,price,quantity
1774707683706,148,70
1774707683707,148,10
1774707683708,147,90
1774707683708,145,20
1774707683709,145,10
1774707683709,148,20
1774707683710,149,60
1774707683710,147,10
1774707683714,147,10
1774707683718,148,20
1774707683718,148,50
1774707683721,146,70
1774707683722,146,20
1774707683729,147,20
1774707683732,146,80
1774707683732,146,10
1774707683738,148,50
1774707683738,149,20
1774707683743,149,20
1774707683743,149,40
1774707683753,148,40
1774707683769,148,40
1774707683769,148,60
1774707683774,148,20
1774707683774,148,30
1774707683778,148,60
1774707683779,149,20
1774707683788,150,50
1774707683788,150,40
1774707683788,150,10
1774707683789,150,40
1774707683789,150,60
1774707683792,150,20
1774707683794,150,20
1774707683794,150,50
1774707683794,151,20
1774707683799,151,40
1774707683799,151,50
1774707683806,151,80
1774707683811,151,10
1774707683811,151,10
1774707683811,151,20
1774707683812,151,10
1774707683823,150,80
1774707683824,151,10
1774707683835,149,50
1774707683835,149,50
1774707683843,150,30
1774707683866,150,20
1774707683878,151,20
1774707683879,151,30
1774707683879,151,10
1774707683880,151,70
1774707683880,151,30
1774707683881,152,30
1774707683882,152,10
1774707683883,152,20
1774707683883,152,80
1774707683885,152,10
1774707683885,152,10
1774707683886,152,60
1774707683888,152,20
1774707683888,153,70
1774707683889,153,10
1774707683891,153,20
1774707683891,153,30
1774707683904,153,60
1774707683910,153,10
1774707683910,153,20
1774707683911,153,60
1774707683912,153,30
1774707683912,153,30
1774707683917,153,10
1774707683917,153,40
1774707683918,153,40
1774707683918,153,40
1774707683918,153,50
1774707683929,153,30
1774707683931,153,20
1774707683931,154,10
1774707683934,154,20
1774707683941,154,30
1774707683941,155,40
1774707683945,150,10
1774707683945,150,30
1774707683946,150,20
1774707683957,154,20
1774707683958,154,10
1774707683978,154,10
1774707683978,154,30
1774707683982,154,60
1774707683989,155,40
1774707683989,155,40
1774707683990,155,20
1774707683990,155,30
1774707683991,155,30
1774707683992,155,30
1774707683992,155,20
1774707683995,155,80
1774707683996,155,90
1774707684007,155,10
1774707684007,155,10
1774707684008,156,20
1774707684009,156,40
1774707684009,156,20
1774707684021,155,60
1774707684024,150,30
1774707684025,150,10
1774707684026,152,10
1774707684026,152,80
1774707684029,153,10
1774707684034,152,20
1774707684037,151,20
1774707684038,151,10
1774707684040,151,20
1774707684045,151,50
1774707684045,151,10
1774707684048,149,10
1774707684051,151,20
1774707684053,150,10
1774707684053,150,10
1774707684054,148,10
1774707684055,148,20
1774707684055,148,10
1774707684056,149,30
1774707684056,149,50
1774707684057,148,30
1774707684058,148,50
1774707684059,146,20
1774707684059,146,50
1774707684061,148,10
1774707684062,148,80
1774707684062,148,20
1774707684064,147,10
1774707684073,149,10
1774707684073,149,20
1774707684076,145,20
1774707684077,145,20
1774707684078,140,20
1774707684082,145,30
1774707684083,145,10
1774707684084,139,20
1774707684085,143,10
1774707684087,145,40
1774707684089,140,50
1774707684092,143,50
1774707684092,143,10
1774707684095,142,20
1774707684095,142,40
1774707684097,144,20
1774707684098,144,10
1774707684098,143,80
1774707684098,143,20
1774707684101,141,10
1774707684101,141,10
1774707684103,138,10
1774707684103,138,20
1774707684103,138,70
1774707684109,142,20
1774707684109,142,10
1774707684109,142,70
1774707684110,141,30
1774707684114,138,40
